,AFG,ALB,ALG,AND,ANG,AAB,ARG,ARM,AUL,AUS,AZE,BHM,BAH,BNG,BAR,BLR,BEL,BLZ,BEN,BHU,BOL,BOS,BOT,BRA,BRU,BUL,BFO,MYA,BUI,CAP,CAM,CAO,CAN,CEN,CHA,CHL,CHN,COL,COM,DRC,CON,COS,CDI,CRO,CUB,CYP,CZE,DEN,DJI,DMA,DOM,ECU,EGY,SAL,EQG,ERI,EST,SWA,ETH,FIJ,FIN,FRN,GAB,GAM,GRG,GER,GHA,GRC,GRN,GUA,GUI,GNB,GUY,HAI,HON,HUN,ICE,IND,INS,IRN,IRQ,IRE,ISR,ITA,JAM,JPN,JOR,KZK,KEN,KIR,PRK,KOR,KOS,KUW,KYR,LAO,LAT,LEB,LES,LBR,LIB,LIE,LIT,LUX,MAG,MAW,MAL,MAD,MLI,MLT,MSI,MAA,MAS,MEX,FSM,MLD,MNC,MON,MNG,MOR,MZM,NAM,NAU,NEP,NTH,NEW,NIC,NIR,NIG,MAC,NOR,OMA,PAK,PAL,PAN,PNG,PAR,PER,PHI,POL,POR,QAT,ROM,RUS,RWA,SKN,SLU,SVG,WSM,SNM,STP,SAU,SEN,SER,SEY,SIE,SIN,SLO,SLV,SOL,SOM,SAF,SSD,SPN,SRI,SUD,SUR,SWD,SWZ,SYR,TAW,TAJ,TAZ,THI,ETM,TOG,TON,TRI,TUN,TUR,TKM,TUV,UGA,UKR,UAE,UKG,USA,URU,UZB,VAN,VEN,DRV,YEM,ZAM,ZIM
LEB,37,37,45,19,34,31,40,35,35,37,38,35,43,40,33,33,37,32,40,28,37,38,33,42,31,36,38,31,31,33,35,39,37,32,34,39,39,40,36,39,36,40,40,38,33,39,37,36,39,31,38,38,48,37,31,33,34,33,37,33,37,39,38,35,34,37,40,38,27,38,37,35,33,37,36,38,33,41,38,41,43,35,36,37,35,38,46,37,35,22,24,36,6,45,36,34,34,49,33,34,44,16,33,36,38,34,39,32,37,35,20,42,38,39,20,33,25,35,36,46,39,34,13,35,37,35,36,36,42,35,37,41,42,20,38,34,36,40,40,37,37,45,38,38,35,26,32,28,28,23,32,46,41,37,34,35,34,35,34,24,35,39,20,37,40,44,33,37,38,44,2,36,37,41,28,39,27,36,46,40,32,19,38,36,45,35,34,38,34,31,40,38,43,34,35
LES,35,33,36,18,36,31,37,32,33,35,34,33,32,36,33,31,33,32,39,28,35,34,41,37,27,33,38,31,35,36,33,37,34,34,35,36,34,36,32,39,38,36,38,34,29,36,33,33,36,32,36,36,36,34,30,32,31,37,37,34,34,34,36,36,32,34,39,34,27,35,36,34,34,34,35,34,30,37,34,34,32,32,31,34,34,35,36,32,37,22,21,34,5,34,32,32,31,33,42,36,35,15,31,32,40,40,33,31,39,33,21,35,39,35,21,33,20,34,31,36,39,41,17,34,34,34,34,38,40,33,34,30,35,19,35,36,34,36,36,33,35,33,34,33,37,27,33,30,30,23,34,34,39,33,39,38,31,31,32,25,31,42,22,34,35,37,32,34,34,32,2,34,41,35,30,37,27,35,38,33,30,20,38,32,32,33,30,35,31,30,35,33,35,39,37
LBR,36,35,37,18,36,34,38,32,34,35,34,35,35,38,33,33,35,32,41,28,36,37,37,39,29,34,42,33,36,37,35,39,35,36,37,37,37,38,35,40,39,37,42,35,31,36,34,36,36,32,38,37,38,36,30,35,32,36,38,36,37,38,38,40,33,37,44,35,29,38,39,37,33,35,36,35,32,38,38,35,34,32,33,37,35,37,39,34,38,23,22,36,6,36,34,31,32,34,36,44,37,14,32,32,40,39,36,31,40,34,23,38,40,36,20,33,21,38,33,37,39,38,16,37,37,34,33,40,44,33,37,32,38,20,37,35,36,39,37,34,37,35,35,35,37,27,33,30,30,25,35,36,43,34,38,42,32,33,31,26,30,41,21,36,37,37,32,37,37,33,3,36,42,36,31,40,28,37,39,34,30,20,39,35,34,35,34,36,32,32,36,35,38,38,38
LIB,37,36,48,18,37,31,40,34,34,36,37,35,45,40,31,34,35,32,41,29,38,37,36,41,31,34,40,32,34,35,35,44,35,36,38,38,39,38,39,41,39,38,41,36,34,37,36,35,41,29,37,38,49,37,32,37,32,37,39,34,37,39,41,39,33,37,39,36,26,37,37,37,33,36,37,36,33,41,40,41,45,33,35,36,35,38,45,38,38,22,24,37,5,48,37,33,32,44,35,37,55,15,33,34,40,39,40,33,38,35,22,46,41,38,21,32,23,36,35,47,40,37,14,37,37,35,35,39,44,33,36,41,41,20,38,35,37,38,38,36,37,47,36,37,37,25,30,28,28,24,34,48,43,35,37,38,33,34,32,24,38,40,22,36,39,48,33,36,36,43,2,37,39,39,29,40,27,35,47,38,32,19,41,36,47,35,34,37,35,30,40,38,42,37,39
LIE,17,21,18,14,15,14,19,18,20,23,20,14,16,17,15,17,23,15,19,11,18,21,17,19,13,21,18,14,14,17,14,16,22,15,16,19,16,19,14,17,16,19,16,23,16,22,23,23,14,16,19,19,18,18,14,12,23,15,16,16,23,22,16,15,21,23,17,23,14,19,15,14,15,18,19,23,24,18,16,15,15,22,20,23,14,22,20,17,16,10,10,21,1,17,17,14,22,16,15,14,15,24,22,23,18,17,16,12,17,23,8,15,18,21,9,19,18,19,21,20,16,17,8,16,23,19,18,17,19,21,24,12,17,8,19,15,19,19,19,23,23,17,22,21,16,13,15,13,14,17,15,16,18,22,15,15,17,21,21,9,12,18,6,23,18,15,17,23,24,14,3,17,17,19,11,16,13,17,20,21,12,8,16,20,15,22,20,18,16,12,19,15,17,17,16
LIT,33,42,36,22,31,29,41,36,41,50,38,31,33,34,29,37,50,31,37,25,36,41,32,40,26,49,35,30,31,33,32,34,45,30,31,38,36,37,29,35,33,37,35,49,29,45,52,51,31,30,37,36,36,35,27,30,52,31,32,32,52,52,34,32,40,52,35,51,26,36,32,30,31,35,36,51,46,39,36,32,30,47,39,51,31,45,38,37,32,21,18,44,7,33,34,30,52,33,31,32,33,22,55,51,36,34,34,29,33,48,20,34,36,44,19,39,27,36,42,38,33,34,13,34,52,40,34,33,36,44,49,28,35,19,36,31,37,37,37,53,50,36,50,43,32,25,31,26,28,29,32,34,37,44,34,32,32,51,50,21,25,39,19,51,35,33,32,50,47,30,3,34,34,38,27,33,25,33,38,47,30,18,33,45,34,49,44,36,33,29,36,33,33,32,32
LUX,36,42,38,21,32,30,45,38,48,59,41,32,33,37,32,36,62,32,39,27,37,42,33,44,27,50,36,31,31,34,33,35,54,31,32,40,41,39,31,37,35,39,37,53,30,48,57,59,32,31,38,38,39,36,28,30,55,32,34,34,61,61,35,33,42,61,37,59,27,37,34,31,32,36,37,57,48,43,38,34,31,58,41,60,32,53,41,40,34,23,19,51,7,35,36,31,51,36,32,32,34,23,51,63,38,35,36,30,35,50,22,35,37,48,21,40,27,38,43,40,36,36,15,36,62,46,36,34,38,45,56,29,38,20,37,33,38,39,40,57,59,37,53,47,34,26,32,27,30,28,32,36,39,45,34,32,36,53,54,23,28,43,20,60,37,35,33,59,56,32,4,36,36,41,28,35,27,35,40,54,31,20,35,44,36,58,52,37,35,29,38,35,35,34,33
MAG,39,39,40,20,39,33,42,35,38,41,38,35,37,40,35,34,40,34,44,29,39,39,41,42,29,38,44,34,38,40,36,42,40,38,39,41,38,42,38,47,43,42,44,40,33,41,39,39,40,34,42,41,42,39,33,37,37,40,43,37,40,42,40,39,37,40,44,40,29,41,41,38,35,40,40,40,35,41,39,38,36,37,36,40,36,41,41,36,41,23,23,39,7,39,36,34,36,38,40,40,40,18,36,38,49,43,37,32,43,37,22,41,47,40,22,37,24,39,37,42,44,42,16,38,40,38,38,42,45,38,40,33,39,20,40,38,39,42,41,39,40,39,40,38,41,27,35,30,31,26,39,38,46,39,44,40,35,36,36,26,33,45,22,40,39,42,35,40,41,35,3,37,45,41,32,43,28,39,43,38,31,20,43,37,37,38,36,40,33,32,40,38,39,43,42
MAW,36,35,39,18,39,33,41,33,35,38,36,35,35,42,35,32,36,33,45,30,41,38,42,44,29,34,42,33,38,39,35,42,37,36,38,38,40,38,36,42,40,38,42,37,32,38,37,35,39,34,39,40,42,40,32,36,33,40,40,38,37,40,40,42,35,38,45,36,29,41,42,37,35,37,40,37,33,44,41,35,34,37,33,37,36,38,41,36,42,24,23,40,6,37,34,32,32,34,40,39,39,17,34,35,43,49,40,32,42,36,23,39,43,38,22,35,22,40,34,40,41,45,17,42,37,36,36,42,46,34,36,32,41,20,38,38,42,41,39,38,37,36,38,39,40,28,35,31,32,25,36,36,44,37,41,41,33,33,32,26,33,45,22,37,41,40,34,37,37,34,3,36,45,38,31,41,29,38,42,35,30,21,43,38,35,37,34,40,33,32,38,35,41,44,43
MAL,40,36,42,18,34,32,43,35,44,39,39,35,41,53,33,35,39,32,43,31,41,39,35,47,39,37,41,38,33,33,42,43,43,32,34,42,52,40,33,38,35,38,40,41,35,40,38,38,35,31,38,41,46,40,29,34,34,35,36,40,41,45,38,40,34,42,44,39,27,41,39,35,33,36,38,39,35,54,58,45,39,39,37,41,37,47,45,40,42,25,26,51,6,41,41,38,34,39,33,36,40,16,34,36,37,40,60,35,39,36,23,39,39,42,22,33,24,44,36,41,40,39,16,45,39,45,35,38,50,35,38,37,53,23,38,42,41,44,49,40,39,42,40,48,37,26,32,28,32,24,32,42,45,40,34,41,43,35,34,27,31,44,20,40,49,39,34,39,38,38,5,39,42,50,32,41,32,37,41,45,32,22,40,41,42,40,45,39,37,33,40,44,43,39,40
MAD,37,32,33,18,29,30,32,30,32,31,33,32,32,38,30,28,30,31,33,31,32,33,31,32,29,29,33,32,30,32,31,33,30,30,32,32,33,32,32,32,31,32,34,31,27,32,29,30,33,28,33,32,32,31,27,28,28,30,30,33,30,31,33,33,31,31,33,30,27,32,33,33,32,32,31,30,28,36,35,35,31,30,29,31,32,33,34,33,30,23,19,33,5,32,32,30,28,32,31,31,33,12,29,30,32,32,35,40,32,31,22,33,34,31,21,30,19,34,29,33,33,32,18,35,31,32,30,32,35,30,31,31,38,19,32,34,32,32,34,29,31,33,30,30,30,27,30,28,31,23,31,34,34,30,34,34,32,28,29,25,28,33,21,31,36,33,32,30,31,32,3,34,33,34,31,32,28,33,34,32,30,22,35,29,32,30,29,32,31,30,32,33,32,31,30
MLI,40,38,41,19,37,31,39,34,36,38,38,33,36,43,34,32,38,31,52,30,40,39,40,42,28,35,51,33,38,40,37,44,39,40,42,38,39,39,38,42,43,39,49,37,30,38,37,37,40,33,39,41,44,38,33,33,34,36,41,37,37,40,42,43,35,39,47,37,28,41,45,43,34,37,38,37,32,41,42,38,36,35,33,37,34,39,44,36,42,22,22,39,7,38,39,33,33,37,39,40,38,17,33,35,43,42,39,32,58,34,21,41,41,37,22,36,22,41,34,42,46,43,16,40,38,36,36,49,49,35,38,33,42,20,37,38,39,43,38,38,37,38,39,39,42,26,34,29,30,24,37,37,52,37,39,44,32,33,33,25,34,44,22,37,39,40,35,39,40,35,3,39,46,40,31,48,27,37,44,37,32,19,45,37,36,37,35,39,34,31,37,35,43,44,41
MLT,35,42,38,22,34,32,43,38,42,51,41,35,35,38,32,38,51,33,37,27,38,43,35,41,29,48,36,31,31,35,32,36,46,31,32,40,37,40,31,36,34,40,36,51,32,49,50,50,31,31,39,39,38,38,28,30,49,34,34,35,52,52,35,33,42,52,38,52,27,39,33,31,33,37,38,51,45,40,36,35,33,49,40,53,34,45,41,39,36,23,21,44,6,36,37,30,49,35,33,34,35,23,48,50,37,36,36,31,34,55,21,34,38,45,20,41,29,39,43,40,37,36,15,35,52,42,37,34,40,44,48,31,38,20,40,34,39,40,40,50,53,37,51,45,34,27,32,28,30,30,33,36,38,45,35,34,34,49,48,23,26,41,20,53,39,34,33,51,48,32,3,37,38,39,29,34,28,36,40,47,31,20,36,44,34,49,43,38,35,30,39,35,36,35,34
MSI,21,20,21,11,20,23,23,19,24,21,20,23,20,22,21,18,22,22,23,18,22,22,21,23,19,20,21,21,20,23,21,23,23,21,21,22,24,22,23,22,22,22,23,21,21,21,21,22,21,21,23,21,20,20,19,21,20,21,21,27,23,25,24,22,21,23,23,21,21,21,21,21,22,22,22,21,21,24,24,21,20,21,20,23,22,24,22,21,22,22,12,24,4,20,19,19,20,20,21,23,22,8,20,22,22,23,23,22,21,21,29,22,24,22,21,20,13,23,21,21,22,23,20,22,23,25,20,21,23,20,22,20,23,22,22,26,22,22,24,21,22,22,21,20,20,21,21,21,25,18,21,21,24,20,23,22,22,19,19,23,21,23,16,23,22,22,22,22,22,19,2,21,23,23,24,21,24,23,22,22,19,20,22,20,21,24,24,21,20,24,23,22,21,21,21
MAA,38,37,47,19,37,31,39,34,34,36,37,35,43,39,32,32,37,32,42,29,36,38,37,40,30,34,42,35,36,38,34,44,36,38,40,37,38,38,40,42,40,37,44,37,33,37,35,36,42,31,39,37,45,36,33,36,34,37,39,35,37,39,42,40,35,38,41,36,28,38,40,39,32,37,37,35,33,40,41,38,41,34,34,37,36,38,43,38,37,24,23,37,7,44,36,32,33,42,35,38,46,15,34,35,41,39,39,33,41,34,22,52,41,37,22,34,24,37,36,48,43,39,15,37,38,34,35,41,43,34,37,40,40,20,36,37,37,38,37,36,36,46,36,36,38,26,32,28,30,25,37,44,44,36,39,41,33,33,33,25,38,40,22,37,38,46,35,36,37,42,3,37,40,39,31,42,29,38,48,37,31,20,40,36,45,36,35,37,34,31,38,36,42,38,38
MAS,38,38,41,20,40,35,43,35,39,40,37,37,39,42,35,35,40,35,43,30,39,40,41,44,30,39,43,35,38,42,36,43,40,37,38,42,40,42,40,46,41,42,42,41,36,42,39,39,39,35,44,41,43,39,34,37,37,40,41,39,40,42,41,39,38,40,43,41,30,41,39,40,36,41,39,40,37,43,40,40,36,37,36,40,38,43,41,35,41,24,25,41,7,41,35,34,37,38,39,40,41,18,36,37,47,43,39,34,41,38,24,41,52,41,23,36,26,39,38,43,45,42,17,39,40,39,37,41,45,37,40,35,41,22,41,39,39,42,42,40,42,40,41,39,40,28,36,31,32,26,40,40,46,40,44,40,37,37,36,26,32,46,22,40,42,41,37,40,40,36,3,36,44,42,33,41,31,40,44,40,30,21,42,39,39,38,37,41,33,34,41,39,38,41,42
MEX,37,40,43,21,36,37,63,37,52,51,41,41,38,41,40,37,52,40,41,28,48,42,36,62,30,46,38,33,32,36,34,39,57,32,33,57,52,58,32,41,37,51,41,49,40,47,49,51,34,36,51,51,43,48,29,33,45,34,38,36,54,57,38,36,39,58,41,51,33,51,36,33,41,45,49,49,46,52,45,41,35,49,45,58,43,60,42,39,38,22,24,57,6,40,36,32,44,39,35,36,38,21,44,48,40,38,42,31,37,45,22,37,41,76,20,39,28,39,42,45,40,38,14,38,54,51,46,36,45,41,52,34,43,20,52,37,49,56,47,50,56,40,50,52,35,30,37,33,29,29,34,41,43,45,35,36,40,45,46,23,30,51,20,58,43,38,42,52,53,36,6,36,40,44,30,37,28,47,43,53,31,19,38,46,38,56,56,50,35,31,54,38,39,36,37
FSM,22,19,21,12,21,21,21,21,24,21,21,22,21,22,21,19,21,21,22,20,21,21,22,21,18,19,22,20,21,23,21,22,22,21,22,21,23,21,22,22,22,21,22,20,19,20,20,21,21,19,23,21,20,21,20,18,20,21,22,26,21,23,22,22,21,21,22,20,19,21,22,23,21,23,21,20,20,23,23,21,20,21,20,22,22,22,21,21,22,22,14,22,5,20,21,20,19,20,21,20,21,9,19,21,22,22,22,21,22,20,21,22,23,20,27,19,14,22,20,21,22,22,17,22,21,24,21,22,22,19,21,18,22,22,21,27,21,21,23,20,21,21,20,20,22,19,20,19,25,16,22,21,22,20,22,21,22,19,19,24,21,22,16,22,22,22,22,21,21,20,2,22,22,23,24,22,24,23,21,22,20,19,21,19,20,22,22,21,19,25,21,22,21,22,22
MLD,35,43,36,23,32,29,37,41,37,45,44,31,32,38,30,40,41,30,39,26,38,43,33,40,26,44,35,31,32,35,33,33,40,31,33,37,36,37,30,36,35,38,37,45,29,40,43,41,33,30,37,40,39,37,27,29,39,31,34,33,41,45,34,34,45,43,39,43,26,38,36,31,30,35,35,43,37,37,35,33,30,41,39,44,31,41,41,39,35,22,19,41,7,33,40,30,39,33,33,33,32,19,39,40,37,35,33,30,36,41,20,34,36,39,19,53,26,38,42,39,36,38,14,37,42,37,35,36,39,44,41,29,35,19,36,33,39,39,39,45,42,34,48,47,34,25,31,26,29,29,33,32,40,46,35,33,31,41,41,22,26,36,20,43,35,33,31,41,43,31,3,38,37,38,29,36,26,33,41,41,33,19,35,48,32,40,40,37,36,28,36,33,36,36,35
MNC,22,26,27,20,22,19,27,25,25,28,26,23,24,25,19,22,29,21,24,17,25,28,21,27,21,28,23,21,19,24,21,24,27,20,21,27,25,27,20,24,22,27,24,30,26,29,29,28,20,20,27,26,27,25,21,19,27,20,21,21,28,30,23,20,27,29,25,30,17,26,21,21,19,26,24,29,27,26,25,24,22,26,26,30,23,28,25,24,22,15,20,27,1,25,22,20,28,25,20,21,23,18,27,27,24,22,24,19,22,29,13,24,26,28,14,26,31,25,28,28,26,22,11,23,29,24,24,22,26,26,29,22,25,14,26,23,25,27,27,30,30,27,30,28,21,17,20,17,18,23,22,25,25,29,23,21,22,28,28,14,19,25,11,30,26,22,21,28,29,23,1,22,24,28,19,22,20,23,28,28,19,14,21,28,25,26,25,27,21,20,27,24,24,20,21
MON,42,38,40,20,34,32,40,36,42,40,40,35,37,47,32,36,41,32,41,32,41,42,36,43,33,37,41,37,35,36,39,38,42,34,35,39,45,40,33,38,37,39,39,41,31,40,39,41,34,31,38,41,44,40,29,31,36,34,37,38,40,42,37,37,39,44,44,39,28,42,40,33,32,36,39,40,37,47,47,40,36,40,38,42,34,45,46,41,40,23,24,47,6,37,42,34,36,35,34,38,36,19,36,38,39,40,44,34,41,39,23,37,39,39,22,38,25,52,37,41,38,40,16,44,42,41,36,38,45,37,42,33,47,22,39,40,42,44,43,40,40,39,41,45,37,26,32,28,31,27,34,37,43,40,37,38,37,36,35,25,28,42,21,41,47,35,33,42,43,34,4,42,44,44,33,38,29,37,42,41,32,20,37,41,36,41,42,39,37,31,38,40,42,40,38
MNG,35,43,38,22,32,30,40,38,39,45,40,33,36,37,31,38,45,30,38,26,36,44,32,40,28,46,35,31,31,33,32,37,43,31,32,39,38,39,31,38,35,39,37,47,32,43,47,43,32,29,38,38,39,35,28,30,42,32,34,34,45,47,36,33,42,46,38,46,26,37,34,31,30,35,36,46,41,39,36,36,32,42,41,46,33,44,40,38,34,21,21,42,7,35,36,30,43,36,31,33,35,21,42,43,37,34,36,29,34,43,21,36,38,42,20,42,28,37,49,41,36,35,13,34,46,38,35,33,39,45,44,31,39,20,37,32,37,39,39,47,45,38,47,43,34,25,30,26,28,28,31,36,39,47,33,33,35,43,44,21,27,38,19,45,37,35,32,43,44,32,3,36,36,40,27,35,27,35,41,44,32,18,35,45,36,44,42,37,35,30,39,35,35,34,33
MOR,39,41,53,20,37,32,45,37,42,43,42,36,45,45,33,36,46,35,46,29,40,44,37,48,31,41,43,34,35,38,35,44,45,36,39,44,45,43,40,42,39,44,43,45,34,44,42,43,42,32,43,45,54,43,33,35,40,37,39,35,44,47,41,39,40,46,44,43,28,44,41,38,34,39,41,42,39,47,43,41,42,43,42,46,36,46,52,39,41,23,24,47,7,48,38,33,40,46,36,37,47,20,38,40,42,40,41,33,42,40,21,48,43,45,21,39,28,41,41,62,44,40,14,39,45,42,40,42,48,40,44,41,45,20,42,36,43,46,43,44,45,48,45,46,39,26,33,28,29,26,37,47,47,45,38,39,37,39,39,23,37,45,22,47,44,46,37,44,46,42,4,38,42,46,29,43,29,39,57,46,34,19,42,43,46,45,44,44,35,32,42,38,47,40,39
MZM,39,38,43,19,40,34,42,34,38,38,39,36,39,43,35,33,40,34,43,28,37,39,40,43,31,37,43,34,35,40,34,45,41,37,39,41,38,42,38,44,41,41,45,39,34,41,37,39,39,34,41,40,43,38,33,34,36,38,40,36,40,41,41,39,36,39,44,39,28,40,41,40,35,39,38,38,35,42,42,40,37,36,35,40,37,41,41,37,40,24,24,38,7,41,36,32,35,39,39,39,40,16,33,36,44,41,40,33,46,37,22,43,45,40,22,36,26,38,36,44,64,42,16,37,39,39,37,42,47,35,39,36,42,21,39,39,37,42,41,38,41,41,40,39,39,27,35,30,31,25,39,40,47,38,41,42,36,35,34,27,35,45,22,40,40,41,36,40,39,37,3,37,45,42,32,43,31,40,45,41,32,21,53,37,39,39,37,39,33,33,40,37,41,40,39
NAM,36,34,39,18,39,32,40,32,36,37,36,35,34,43,35,31,36,33,47,30,42,37,42,45,29,35,41,33,37,40,36,40,37,36,38,38,42,38,35,41,40,38,41,38,31,38,36,38,37,33,38,43,41,39,33,34,34,40,40,38,38,39,40,43,36,40,46,36,29,40,41,37,34,36,38,36,33,43,40,36,33,36,34,37,35,40,43,34,44,24,22,43,6,36,36,31,33,34,41,38,37,17,34,36,42,45,39,32,43,36,23,39,42,38,22,38,22,40,35,40,42,51,17,42,39,37,37,41,47,35,38,31,41,21,37,38,42,42,40,39,38,36,39,39,42,28,34,30,32,25,37,35,47,38,40,41,34,32,33,25,33,46,22,38,39,39,34,37,38,33,3,35,46,39,32,42,29,37,41,36,30,21,42,38,35,38,36,38,32,31,38,34,41,46,44
NAU,16,14,14,11,14,18,15,14,18,15,14,17,13,16,17,12,15,17,16,15,15,15,17,15,14,13,16,15,16,17,15,16,17,16,16,15,16,15,17,16,16,15,16,14,17,15,13,15,16,16,17,15,13,14,14,14,14,16,15,22,15,17,16,16,15,15,17,14,16,15,16,16,18,16,15,14,14,17,16,14,13,15,13,16,17,16,15,14,16,18,11,16,0,13,14,14,13,13,17,16,14,8,13,15,16,17,16,18,16,15,20,15,17,14,17,14,11,16,13,14,16,17,22,15,15,19,14,16,17,14,15,13,16,14,15,21,15,15,17,13,15,14,14,13,16,17,17,18,21,13,16,14,16,13,18,17,16,12,13,19,15,17,12,16,16,15,17,15,15,13,2,16,17,16,19,15,20,18,15,15,14,17,17,12,13,17,16,15,14,19,15,15,14,17,15
NEP,40,35,38,18,35,31,42,36,39,40,38,34,36,52,32,34,38,32,45,36,45,39,36,47,32,35,41,37,33,35,40,38,39,32,35,40,48,38,31,37,36,38,40,39,32,38,37,39,34,31,39,44,43,44,29,33,35,34,37,39,42,45,36,41,36,43,47,37,27,44,41,35,32,37,40,38,33,52,48,39,34,41,34,40,35,41,46,38,43,23,23,47,6,37,39,34,32,35,34,37,37,16,34,36,38,42,45,35,40,35,22,37,39,38,22,37,23,44,34,39,37,42,15,57,41,39,36,40,47,35,39,33,48,21,38,39,45,44,43,40,38,38,40,43,38,25,32,28,30,25,33,37,45,40,35,40,34,35,34,25,30,41,21,38,49,37,32,41,40,35,4,37,43,43,30,41,28,36,40,38,31,20,39,41,35,39,42,41,34,31,38,38,44,40,42
NTH,38,44,42,21,34,31,52,38,56,66,42,35,36,42,33,39,73,33,42,29,41,45,35,51,29,54,39,34,32,35,35,39,65,33,35,46,52,45,32,40,37,42,41,57,33,50,60,72,34,30,42,43,44,40,29,32,58,34,39,38,73,77,37,36,43,77,42,64,27,43,38,33,33,37,41,60,52,52,42,37,34,63,48,76,35,67,45,43,40,23,22,60,6,41,39,31,54,37,34,37,37,23,52,62,40,37,39,31,38,52,23,38,40,54,21,42,29,42,46,45,39,39,15,41,81,52,38,37,45,46,70,32,44,21,41,37,42,47,43,64,69,40,58,57,37,26,31,27,30,29,34,40,44,49,36,37,40,58,58,24,30,48,21,72,41,38,35,74,68,34,4,38,41,43,30,38,29,40,43,62,32,20,38,49,39,74,69,40,36,30,42,36,39,38,36
NEW,37,37,38,18,32,32,48,34,62,49,38,33,36,44,33,35,51,33,38,29,37,38,35,47,34,43,36,36,30,33,37,37,57,30,31,46,49,42,31,38,35,41,36,44,32,44,45,51,32,31,40,42,39,39,26,30,45,33,36,42,52,53,34,33,37,52,39,48,26,41,35,31,33,35,38,46,43,52,46,38,33,49,41,53,34,59,41,36,37,27,23,58,6,38,36,35,41,35,34,34,35,19,40,46,38,36,45,32,36,42,25,34,39,51,24,37,24,41,38,42,39,37,19,39,52,64,36,34,42,38,51,32,44,24,40,44,38,45,48,47,51,36,46,51,35,26,32,28,34,25,31,38,40,42,34,35,45,43,42,28,28,47,20,52,43,35,33,52,51,33,6,35,40,47,31,35,33,39,40,51,30,24,37,41,35,53,58,39,33,33,39,41,36,36,35
NIC,35,35,38,18,36,33,47,33,35,38,37,39,35,38,37,32,37,39,39,29,43,37,35,46,28,35,36,33,32,36,34,36,36,32,33,46,40,46,31,37,36,48,37,39,37,38,36,37,33,34,47,46,37,48,30,31,35,35,37,34,37,38,35,34,35,39,37,37,32,48,35,33,38,43,48,37,34,39,36,36,34,36,37,41,39,40,38,34,37,22,22,40,6,36,33,32,34,36,34,33,35,18,34,36,38,36,35,30,36,37,20,35,37,46,21,35,24,36,35,40,37,37,14,36,38,36,49,35,39,36,38,31,38,19,46,35,44,46,40,36,40,37,39,38,36,29,35,31,29,26,35,36,38,37,34,34,33,34,35,23,29,38,21,42,38,36,39,37,39,33,5,33,37,39,30,37,27,39,38,37,30,19,36,36,34,37,36,44,30,30,45,35,38,36,36
NIR,39,38,40,19,37,31,38,34,34,37,37,33,36,42,33,32,37,31,53,29,39,40,40,41,28,35,51,33,37,40,35,46,37,41,46,37,38,38,38,42,43,38,50,37,30,37,36,37,39,33,40,39,43,37,33,33,34,36,39,35,38,42,42,44,35,37,46,36,28,40,44,44,34,37,38,36,32,39,41,36,36,35,32,37,34,37,43,36,40,22,22,37,7,38,37,33,32,36,38,40,39,17,33,34,42,42,38,32,49,34,21,41,41,36,22,36,22,38,33,42,42,41,16,40,37,34,35,55,50,34,37,33,39,19,37,37,39,40,39,38,37,38,39,38,39,26,34,29,30,24,37,37,52,38,39,43,31,33,32,25,33,41,22,37,37,39,35,38,39,35,3,38,42,39,31,50,27,37,44,36,31,19,41,37,36,36,35,39,34,31,36,35,43,42,40
NIG,41,41,50,19,40,36,48,36,42,43,41,38,41,55,37,36,44,36,55,30,46,43,41,55,33,41,51,35,38,40,40,49,45,39,44,45,51,46,38,47,44,43,49,45,36,45,41,45,42,35,44,49,56,45,33,36,39,39,45,41,46,49,43,47,37,48,58,43,30,50,48,41,38,40,42,43,38,54,51,48,40,43,38,46,41,45,51,40,51,24,25,49,6,44,42,33,38,42,40,44,44,19,36,38,45,46,50,35,49,40,23,43,45,45,22,39,26,45,39,48,47,47,17,47,45,42,39,50,69,39,46,37,53,22,42,41,46,51,47,45,44,45,46,48,44,29,36,32,32,26,38,44,56,45,41,50,38,37,38,27,35,52,22,45,50,43,39,46,46,39,3,40,51,46,32,50,31,43,49,45,33,21,48,44,41,45,44,44,35,34,46,38,50,48,47
MAC,35,45,38,22,32,30,39,39,38,49,41,32,33,37,31,38,47,32,38,26,36,45,33,40,27,47,36,31,32,34,34,34,43,31,32,39,37,39,30,37,35,39,36,49,29,44,47,44,33,31,38,38,38,37,28,30,44,32,34,33,46,47,34,32,43,47,38,48,27,38,34,31,32,36,36,49,41,39,36,34,31,45,41,48,32,43,40,37,35,22,19,42,7,34,36,31,44,35,33,33,33,21,44,45,38,34,35,30,35,44,20,34,37,41,19,44,26,37,45,40,35,35,14,35,46,38,36,34,39,50,44,29,36,19,37,32,37,39,39,46,46,37,48,43,34,26,32,27,29,28,33,35,38,48,35,34,33,45,47,22,26,38,20,47,37,34,33,44,45,31,3,36,37,40,28,35,26,34,40,46,32,19,35,43,34,44,41,37,34,29,37,34,35,34,33
